Task,Model,Architecture,Score,Parameters
Classification,Reg2Tertile(HistGB) (Variant 5),Reg2Tertile(HistGB),0.2386,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__l2_regularization': 0.3}"
Classification,Reg2Tertile(HistGB) (Variant 6),Reg2Tertile(HistGB),0.3428,"{'reg_pipeline__model__min_samples_leaf': 60, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__l2_regularization': 0.01}"
Classification,Reg2Tertile(HistGB) (Variant 7),Reg2Tertile(HistGB),0.5242,"{'reg_pipeline__model__min_samples_leaf': 10, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 8),Reg2Tertile(HistGB),0.3468,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 9),Reg2Tertile(HistGB),0.3601,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 10),Reg2Tertile(HistGB),0.4124,"{'reg_pipeline__model__min_samples_leaf': 60, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 11),Reg2Tertile(HistGB),0.3938,"{'reg_pipeline__model__min_samples_leaf': 40, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.05}"
Classification,Reg2Tertile(HistGB) (Variant 12),Reg2Tertile(HistGB),0.3492,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.3}"
Classification,Reg2Tertile(HistGB) (Variant 13),Reg2Tertile(HistGB),0.4918,"{'reg_pipeline__model__min_samples_leaf': 10, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 14),Reg2Tertile(HistGB),0.4244,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.1}"
Classification,Reg2Tertile(HistGB) (Variant 15),Reg2Tertile(HistGB),0.3691,"{'reg_pipeline__model__min_samples_leaf': 10, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.1}"
Classification,Reg2Tertile(HistGB) (Variant 16),Reg2Tertile(HistGB),0.4439,"{'reg_pipeline__model__min_samples_leaf': 40, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 17),Reg2Tertile(HistGB),0.3468,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.05}"
Classification,Reg2Tertile(HistGB) (Variant 18),Reg2Tertile(HistGB),0.3358,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.05}"
Classification,Reg2Tertile(HistGB) (Variant 19),Reg2Tertile(HistGB),0.3468,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 20),Reg2Tertile(HistGB),0.246,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__l2_regularization': 0.01}"
Classification,Reg2Tertile(HistGB) (Variant 21),Reg2Tertile(HistGB),0.2305,"{'reg_pipeline__model__min_samples_leaf': 20, 'reg_pipeline__model__max_leaf_nodes': 31, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__l2_regularization': 0.3}"
Classification,Reg2Tertile(HistGB) (Variant 22),Reg2Tertile(HistGB),0.4439,"{'reg_pipeline__model__min_samples_leaf': 40, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.1}"
Classification,Reg2Tertile(HistGB) (Variant 23),Reg2Tertile(HistGB),0.3883,"{'reg_pipeline__model__min_samples_leaf': 40, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.01}"
Classification,Reg2Tertile(HistGB) (Variant 24),Reg2Tertile(HistGB),0.172,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__l2_regularization': 0.1}"
Classification,Reg2Tertile(HistGB) (Variant 25),Reg2Tertile(HistGB),0.4124,"{'reg_pipeline__model__min_samples_leaf': 60, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.01}"
Classification,Reg2Tertile(HistGB) (Variant 26),Reg2Tertile(HistGB),0.3068,"{'reg_pipeline__model__min_samples_leaf': 10, 'reg_pipeline__model__max_leaf_nodes': 15, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__l2_regularization': 0.0}"
Classification,Reg2Tertile(HistGB) (Variant 27),Reg2Tertile(HistGB),0.3801,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__l2_regularization': 0.3}"
Classification,Reg2Tertile(HistGB) (Variant 28),Reg2Tertile(HistGB),0.3323,"{'reg_pipeline__model__min_samples_leaf': 40, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__l2_regularization': 0.1}"
Classification,Reg2Tertile(HistGB) (Variant 29),Reg2Tertile(HistGB),0.3594,"{'reg_pipeline__model__min_samples_leaf': 30, 'reg_pipeline__model__max_leaf_nodes': 63, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.05, 'reg_pipeline__model__l2_regularization': 0.05}"
Classification,Reg2Tertile(Huber) (Variant 0),Reg2Tertile(Huber),0.4533,"{'reg_pipeline__model__epsilon': 1.5, 'reg_pipeline__model__alpha': 0.01}"
Classification,Reg2Tertile(Huber) (Variant 1),Reg2Tertile(Huber),0.4533,"{'reg_pipeline__model__epsilon': 1.35, 'reg_pipeline__model__alpha': 0.01}"
Classification,Reg2Tertile(Huber) (Variant 2),Reg2Tertile(Huber),0.4824,"{'reg_pipeline__model__epsilon': 1.1, 'reg_pipeline__model__alpha': 0.0001}"
Classification,Reg2Tertile(Huber) (Variant 3),Reg2Tertile(Huber),0.4824,"{'reg_pipeline__model__epsilon': 1.1, 'reg_pipeline__model__alpha': 0.01}"
Classification,Reg2Tertile(Huber) (Variant 4),Reg2Tertile(Huber),0.4533,"{'reg_pipeline__model__epsilon': 1.35, 'reg_pipeline__model__alpha': 0.001}"
Classification,Reg2Tertile(Huber) (Variant 5),Reg2Tertile(Huber),0.4533,"{'reg_pipeline__model__epsilon': 1.5, 'reg_pipeline__model__alpha': 0.0001}"
Classification,Reg2Tertile(Huber) (Variant 6),Reg2Tertile(Huber),0.4533,"{'reg_pipeline__model__epsilon': 1.35, 'reg_pipeline__model__alpha': 0.0001}"
Classification,Reg2Tertile(Huber) (Variant 7),Reg2Tertile(Huber),0.3838,"{'reg_pipeline__model__epsilon': 1.75, 'reg_pipeline__model__alpha': 0.01}"
Classification,Reg2Tertile(Huber) (Variant 8),Reg2Tertile(Huber),0.4824,"{'reg_pipeline__model__epsilon': 1.1, 'reg_pipeline__model__alpha': 0.001}"
Classification,Reg2Tertile(Huber) (Variant 9),Reg2Tertile(Huber),0.3838,"{'reg_pipeline__model__epsilon': 1.75, 'reg_pipeline__model__alpha': 0.001}"
Classification,Reg2Tertile(MLP) (Variant 0),Reg2Tertile(MLP),0.6473,"{'reg_pipeline__model__learning_rate_init': 0.001, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 1),Reg2Tertile(MLP),0.3603,"{'reg_pipeline__model__learning_rate_init': 0.003, 'reg_pipeline__model__hidden_layer_sizes': (256, 128), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'tanh'}"
Classification,Reg2Tertile(MLP) (Variant 2),Reg2Tertile(MLP),0.3497,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (128,), 'reg_pipeline__model__batch_size': 64, 'reg_pipeline__model__alpha': 0.01, 'reg_pipeline__model__activation': 'tanh'}"
Classification,Reg2Tertile(MLP) (Variant 3),Reg2Tertile(MLP),0.4145,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (256, 128), 'reg_pipeline__model__batch_size': 32, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 4),Reg2Tertile(MLP),0.4141,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (64,), 'reg_pipeline__model__batch_size': 32, 'reg_pipeline__model__alpha': 0.001, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 5),Reg2Tertile(MLP),0.3735,"{'reg_pipeline__model__learning_rate_init': 0.0001, 'reg_pipeline__model__hidden_layer_sizes': (128,), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 0.01, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 6),Reg2Tertile(MLP),0.5828,"{'reg_pipeline__model__learning_rate_init': 0.001, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 32, 'reg_pipeline__model__alpha': 1e-06, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 7),Reg2Tertile(MLP),0.2702,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 0.0001, 'reg_pipeline__model__activation': 'tanh'}"
Classification,Reg2Tertile(MLP) (Variant 8),Reg2Tertile(MLP),0.4762,"{'reg_pipeline__model__learning_rate_init': 0.001, 'reg_pipeline__model__hidden_layer_sizes': (256, 128), 'reg_pipeline__model__batch_size': 32, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 9),Reg2Tertile(MLP),0.2702,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 1e-06, 'reg_pipeline__model__activation': 'tanh'}"
Classification,Reg2Tertile(MLP) (Variant 10),Reg2Tertile(MLP),0.5488,"{'reg_pipeline__model__learning_rate_init': 0.003, 'reg_pipeline__model__hidden_layer_sizes': (128, 64), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 1e-06, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 11),Reg2Tertile(MLP),0.4886,"{'reg_pipeline__model__learning_rate_init': 0.001, 'reg_pipeline__model__hidden_layer_sizes': (256, 128), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 12),Reg2Tertile(MLP),0.5794,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(MLP) (Variant 13),Reg2Tertile(MLP),0.2573,"{'reg_pipeline__model__learning_rate_init': 0.0001, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 0.01, 'reg_pipeline__model__activation': 'tanh'}"
Classification,Reg2Tertile(MLP) (Variant 14),Reg2Tertile(MLP),0.2702,"{'reg_pipeline__model__learning_rate_init': 0.0003, 'reg_pipeline__model__hidden_layer_sizes': (64, 32), 'reg_pipeline__model__batch_size': 32, 'reg_pipeline__model__alpha': 1e-05, 'reg_pipeline__model__activation': 'tanh'}"
Classification,Reg2Tertile(MLP) (Variant 15),Reg2Tertile(MLP),0.385,"{'reg_pipeline__model__learning_rate_init': 0.001, 'reg_pipeline__model__hidden_layer_sizes': (128, 64), 'reg_pipeline__model__batch_size': 128, 'reg_pipeline__model__alpha': 0.001, 'reg_pipeline__model__activation': 'relu'}"
Classification,Reg2Tertile(XGBoost) (Variant 0),Reg2Tertile(XGBoost),0.3486,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 10.0, 'reg_pipeline__model__reg_alpha': 0.0, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 1),Reg2Tertile(XGBoost),0.3758,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 0.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 2),Reg2Tertile(XGBoost),0.432,"{'reg_pipeline__model__subsample': 0.6, 'reg_pipeline__model__reg_lambda': 50.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 1, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 3),Reg2Tertile(XGBoost),0.4068,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 10, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 4),Reg2Tertile(XGBoost),0.5673,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 15, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 5),Reg2Tertile(XGBoost),0.3456,"{'reg_pipeline__model__subsample': 0.6, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 6),Reg2Tertile(XGBoost),0.3841,"{'reg_pipeline__model__subsample': 0.6, 'reg_pipeline__model__reg_lambda': 20.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 7),Reg2Tertile(XGBoost),0.5142,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 0.0, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.5}"
Classification,Reg2Tertile(XGBoost) (Variant 8),Reg2Tertile(XGBoost),0.3417,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 50.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 9),Reg2Tertile(XGBoost),0.3567,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 50.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 1, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 10),Reg2Tertile(XGBoost),0.5319,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 0.3, 'reg_pipeline__model__min_child_weight': 10, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 11),Reg2Tertile(XGBoost),0.5673,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 15, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 12),Reg2Tertile(XGBoost),0.5149,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 5.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 1, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 13),Reg2Tertile(XGBoost),0.386,"{'reg_pipeline__model__subsample': 0.9, 'reg_pipeline__model__reg_lambda': 5.0, 'reg_pipeline__model__reg_alpha': 0.3, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.5}"
Classification,Reg2Tertile(XGBoost) (Variant 14),Reg2Tertile(XGBoost),0.5142,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 0.5, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 1, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 15),Reg2Tertile(XGBoost),0.3771,"{'reg_pipeline__model__subsample': 0.6, 'reg_pipeline__model__reg_lambda': 0.5, 'reg_pipeline__model__reg_alpha': 0.0, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.5, 'reg_pipeline__model__colsample_bytree': 0.5}"
Classification,Reg2Tertile(XGBoost) (Variant 16),Reg2Tertile(XGBoost),0.487,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 20.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 4, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 17),Reg2Tertile(XGBoost),0.5919,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 10.0, 'reg_pipeline__model__reg_alpha': 0.0, 'reg_pipeline__model__min_child_weight': 3, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 18),Reg2Tertile(XGBoost),0.3944,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 5.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 19),Reg2Tertile(XGBoost),0.5225,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 0.5, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 20),Reg2Tertile(XGBoost),0.3725,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 21),Reg2Tertile(XGBoost),0.3801,"{'reg_pipeline__model__subsample': 0.75, 'reg_pipeline__model__reg_lambda': 10.0, 'reg_pipeline__model__reg_alpha': 0.5, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 3, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 22),Reg2Tertile(XGBoost),0.4872,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 50.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 5, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
Classification,Reg2Tertile(XGBoost) (Variant 23),Reg2Tertile(XGBoost),0.4341,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 1, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 0.1, 'reg_pipeline__model__colsample_bytree': 0.65}"
Classification,Reg2Tertile(XGBoost) (Variant 24),Reg2Tertile(XGBoost),0.3956,"{'reg_pipeline__model__subsample': 0.6, 'reg_pipeline__model__reg_lambda': 3.0, 'reg_pipeline__model__reg_alpha': 0.1, 'reg_pipeline__model__min_child_weight': 15, 'reg_pipeline__model__max_depth': 2, 'reg_pipeline__model__learning_rate': 0.005, 'reg_pipeline__model__gamma': 1.0, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 25),Reg2Tertile(XGBoost),0.386,"{'reg_pipeline__model__subsample': 0.6, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.02, 'reg_pipeline__model__gamma': 0.2, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 26),Reg2Tertile(XGBoost),0.487,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 1.0, 'reg_pipeline__model__reg_alpha': 1.0, 'reg_pipeline__model__min_child_weight': 25, 'reg_pipeline__model__max_depth': 6, 'reg_pipeline__model__learning_rate': 0.03, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.8}"
Classification,Reg2Tertile(XGBoost) (Variant 27),Reg2Tertile(XGBoost),0.3932,"{'reg_pipeline__model__subsample': 0.98, 'reg_pipeline__model__reg_lambda': 10.0, 'reg_pipeline__model__reg_alpha': 0.3, 'reg_pipeline__model__min_child_weight': 1, 'reg_pipeline__model__max_depth': 5, 'reg_pipeline__model__learning_rate': 0.01, 'reg_pipeline__model__gamma': 0.0, 'reg_pipeline__model__colsample_bytree': 0.95}"
